Rank,Name,State,2020_Pop,2010_Census,Change,Density_km,Area_km
112,Oxnard,California,212715,198465,0.0718,3096,69
113,Santa Clarita,California,210543,204213,0.031,1149,183
114,Birmingham,Alabama,208940,211743,-0.0132,552,378
115,McKinney,Texas,208487,132943,0.5682,1203,173
116,Port St. Lucie,Florida,206410,164843,0.2522,669,309
117,Fayetteville,North Carolina,205646,208335,-0.0129,537,383
118,Grand Rapids,Michigan,205289,188003,0.0919,1771,116
119,Glendale,California,204765,191726,0.068,2595,79
120,Rochester,New York,203792,210452,-0.0316,2200,93
121,Huntsville,Alabama,202910,180960,0.1213,365,555
122,Amarillo,Texas,202028,191255,0.0563,767,264
123,Huntington Beach,California,201941,191303,0.0556,2887,70
124,Spring Valley,Nevada,199722,178395,0.1195,2319,86
125,Cape Coral,Florida,199503,154735,0.2893,727,274
126,Tallahassee,Florida,199205,181596,0.097,766,260
127,Yonkers,New York,199021,196405,0.0133,4266,47
128,Aurora,Illinois,198870,198157,0.0036,1706,117
129,Grand Prairie,Texas,198442,175979,0.1276,1060,187
130,Akron,Ohio,198148,199003,-0.0043,1235,160
131,Little Rock,Arkansas,197371,193928,0.0178,635,311
132,Montgomery,Alabama,197282,205593,-0.0404,476,414
133,Overland Park,Kansas,196636,174041,0.1298,1010,195
134,Augusta,Georgia,196303,196192,0.0006,251,783
135,Tempe,Arizona,194218,162326,0.1965,1876,104
136,Sunrise Manor,Nevada,192934,189372,0.0188,2232,86
137,Knoxville,Tennessee,191060,178432,0.0708,747,256
138,Sioux Falls,South Dakota,190519,154526,0.2329,940,203
139,Columbus,Georgia,189296,191105,-0.0095,338,561
140,Mobile,Alabama,186804,194577,-0.0399,517,361
141,Ontario,California,186653,164369,0.1356,1442,129
142,Vancouver,Washington,186516,167622,0.1127,1477,126
143,Worcester,Massachusetts,186433,181878,0.025,1927,97
144,Fort Lauderdale,Florida,184599,166138,0.1111,2061,90
145,Chattanooga,Tennessee,184143,170559,0.0796,497,370
146,Shreveport,Louisiana,183819,200869,-0.0849,661,278
147,Brownsville,Texas,183748,175400,0.0476,536,343
148,Peoria,Arizona,180219,154891,0.1635,395,456
149,Rancho Cucamonga,California,180031,166232,0.083,1733,104
150,Salem,Oregon,179944,155229,0.1592,1427,126
151,Providence,Rhode Island,178901,178100,0.0045,3753,48
152,Eugene,Oregon,178329,156527,0.1393,1560,114
153,Elk Grove,California,177406,153394,0.1565,1630,109
154,Santa Rosa,California,177132,175304,0.0104,1608,110
155,Newport News,Virginia,177064,180925,-0.0213,991,179
156,Pembroke Pines,Florida,177058,155268,0.1403,2092,85
157,Oceanside,California,176950,167919,0.0538,1656,107
158,Cary,North Carolina,175102,137021,0.2779,1151,152
159,Fort Collins,Colorado,172862,145267,0.19,1167,148
160,Corona,California,171213,153249,0.1172,1653,104
161,Garden Grove,California,170328,171186,-0.005,3662,47
162,Springfield,Missouri,169552,159484,0.0631,795,213
163,Alexandria,Virginia,165748,140740,0.1777,4285,39
164,Bayamon,Puerto Rico,165383,185996,-0.1108,2367,70
165,Clarksville,Tennessee,164496,133480,0.2324,643,256
166,Enterprise,Nevada,164314,108481,0.5147,1241,132
167,Hayward,California,161314,144746,0.1145,1368,118
168,Jackson,Mississippi,160080,173738,-0.0786,556,288
169,Lakewood,Colorado,158660,142786,0.1112,1423,111
170,Lancaster,California,158627,156822,0.0115,650,244
171,Hollywood,Florida,158239,141018,0.1221,2240,71
172,Palmdale,California,156299,152962,0.0218,569,275
173,Salinas,California,155619,150904,0.0312,2565,61
174,Springfield,Massachusetts,155472,153613,0.0121,1884,83
175,Bellevue,Washington,154647,128358,0.2048,1784,87
176,Killeen,Texas,153973,128980,0.1938,1090,141
177,Kansas City,Kansas,153600,145883,0.0529,475,323
178,Macon,Georgia,152519,155810,-0.0211,236,646
179,Sunnyvale,California,152427,140465,0.0852,2671,57
180,Pomona,California,152405,149083,0.0223,2560,60
181,Escondido,California,152245,144437,0.0541,1575,97
182,Pasadena,Texas,151891,149529,0.0158,1346,113
183,Murfreesboro,Tennessee,151066,109524,0.3793,945,160
184,Naperville,Illinois,149196,142388,0.0478,1484,101
185,Joliet,Illinois,148227,147654,0.0039,892,166
186,Paterson,New Jersey,145871,146397,-0.0036,6694,22
187,Savannah,Georgia,145754,137492,0.0601,542,269
188,Rockford,Illinois,145020,153148,-0.0531,870,167
189,Midland,Texas,145012,111284,0.3031,753,193
190,McAllen,Texas,144279,132123,0.092,848,170
191,Waco,Texas,144015,125409,0.1484,626,230
192,Roseville,California,143921,119795,0.2014,1261,114
193,Torrance,California,143912,145183,-0.0088,2708,53
194,Thornton,Colorado,143890,119391,0.2052,1548,93
195,Metairie,Louisiana,143481,138481,0.0361,2382,60
196,Miramar,Florida,143219,122299,0.1711,1917,75
197,Bridgeport,Connecticut,143010,144858,-0.0128,3437,42
198,Olathe,Kansas,142841,126249,0.1314,895,160
199,Denton,Texas,142173,117058,0.2146,570,249
200,Surprise,Arizona,142049,117674,0.2071,508,280
